polygonID,UniqueID,GIS_Ac,year,jan_a,jan_b,feb_a,feb_b,mar_a,mar_b,apr_a,aug_b,sep_a,sep_b,oct_a,oct_b
2,co2287,171.065478294,2014,0,0,1,1,0,0,0,0,0,0,0,0
7,co2304,104.091277154,2014,0,0,1,1,0,0,0,0,0,0,0,0
8,co892,66.8740937386,2014,0,0,1,1,0,0,0,0,0,0,0,0
12,su911,95.2733872166,2014,0,0,1,1,0,0,0,0,0,0,0,0
19,su1395,149.711734102,2014,0,0,1,1,0,0,0,0,0,0,0,0
20,co4682,12.5724780129,2014,0,0,1,1,1,0,0,0,0,0,0,0
21,co4691,25.3438621658,2014,0,0,1,1,1,0,0,0,0,0,0,0
22,co1167,67.6061559348,2014,0,0,1,1,1,0,0,0,0,0,0,0
23,co4681,32.5466820474,2014,0,0,1,1,1,0,0,0,0,0,0,0
26,bu5724,26.177604569,2014,0,0,1,1,0,0,0,0,0,0,0,0
27,pl12,16.1715434246,2014,0,0,1,1,1,0,0,0,0,0,0,0
40,tnc2,23.708902743,2014,0,0,1,1,0,0,0,0,0,0,0,0
41,tnc3,79.2081940804,2014,0,0,1,1,0,0,0,0,0,0,0,0
44,co5302,102.858665673,2014,0,0,1,1,0,0,0,0,0,0,0,0
45,co6530,145.6143451,2014,0,0,1,1,1,0,0,0,0,0,0,0
80,co1802,101.293688649,2014,0,0,1,1,0,0,0,0,0,0,0,0
84,co686,188.994660487,2014,0,0,1,1,1,0,0,0,0,0,0,0
85,yo5460,225.220071732,2014,0,0,1,1,1,0,0,0,0,0,0,0
93,su934,132.155317295,2014,0,0,1,1,1,0,0,0,0,0,0,0
119,tnc9,82.9107993793,2014,0,0,1,1,0,0,0,0,0,0,0,0
120,su1945,154.751637577,2014,0,0,1,1,0,0,0,0,0,0,0,0
121,pl428,73.663952307,2014,0,0,1,1,1,0,0,0,0,0,0,0
122,pl219,21.4867572472,2014,0,0,1,1,1,0,0,0,0,0,0,0
161,tnc11,51.7662441391,2014,0,0,1,1,0,0,0,0,0,0,0,0
222,co470,64.6127636,2014,0,0,1,1,1,0,0,0,0,0,0,0
224,tnc15,73.5823994865,2014,0,0,1,1,1,1,0,0,0,0,0,0
225,co1933,150.718367023,2014,0,0,1,1,1,1,0,0,0,0,0,0
226,co1946,156.381339527,2014,0,0,1,1,1,1,0,0,0,0,0,0
227,co6325,125.104416345,2014,0,0,1,1,1,1,0,0,0,0,0,0
228,co2290,123.16339536,2014,0,0,1,1,0,0,0,0,0,0,0,0
257,tnc122,35.9784345121,2014,0,0,1,1,1,1,0,0,0,0,0,0
261,co1804,161.116477269,2014,0,0,1,1,0,0,0,0,0,0,0,0
269,co6281,371.839941472,2014,0,0,1,1,0,0,0,0,0,0,0,0
270,co6425,317.828465929,2014,0,0,1,1,0,0,0,0,0,0,0,0
271,co922,358.430712162,2014,0,0,1,1,0,0,0,0,0,0,0,0
281,co938,117.452013342,2014,0,0,1,1,1,0,0,0,0,0,0,0
286,co5811,346.263948717,2014,0,0,1,1,1,0,0,0,0,0,0,0
287,co5300,96.364069523,2014,0,0,1,1,0,0,0,0,0,0,0,0
288,co901,126.297495513,2014,0,0,1,1,1,0,0,0,0,0,0,0
289,co887,128.95512198,2014,0,0,1,1,1,0,0,0,0,0,0,0
290,co4412,73.1970754386,2014,0,0,1,1,0,0,0,0,0,0,0,0
291,tnc107,30.7757571974,2014,0,0,1,1,1,1,0,0,0,0,0,0
293,co3956,75.55784243,2014,0,0,1,1,0,0,0,0,0,0,0,0
294,co5075,62.2176793514,2014,0,0,1,1,0,0,0,0,0,0,0,0
295,su1396,148.432675652,2014,0,0,1,1,0,0,0,0,0,0,0,0
301,pl6,15.2739408264,2014,0,0,1,1,1,0,0,0,0,0,0,0
302,pl8,10.7915630004,2014,0,0,1,1,1,0,0,0,0,0,0,0
303,pl9,10.6090642396,2014,0,0,1,1,1,0,0,0,0,0,0,0
304,pl10,12.5206520657,2014,0,0,1,1,1,0,0,0,0,0,0,0
305,pl11,10.9609772401,2014,0,0,1,1,1,0,0,0,0,0,0,0
306,pl5,12.6173798411,2014,0,0,1,1,1,0,0,0,0,0,0,0
307,pl7,10.6459740756,2014,0,0,1,1,1,0,0,0,0,0,0,0
321,tnc17,24.6097341877,2014,0,0,1,1,0,0,0,0,0,0,0,0
322,tnc18,30.7351137732,2014,0,0,1,1,0,0,0,0,0,0,0,0
323,tnc19,30.1870176922,2014,0,0,1,1,0,0,0,0,0,0,0,0
324,tnc20,21.5552199833,2014,0,0,1,1,0,0,0,0,0,0,0,0
325,tnc21,2.99733869341,2014,0,0,1,1,0,0,0,0,0,0,0,0
370,co1798,120.088478674,2014,0,0,1,1,0,0,0,0,0,0,0,0
371,co1799,115.582690134,2014,0,0,1,1,0,0,0,0,0,0,0,0
372,co1800,117.600485168,2014,0,0,1,1,0,0,0,0,0,0,0,0
373,co1801,115.29671196,2014,0,0,1,1,0,0,0,0,0,0,0,0
374,co1803,80.3287912443,2014,0,0,1,1,0,0,0,0,0,0,0,0
390,tnc31,36.4265679745,2014,0,0,1,1,0,0,0,0,0,0,0,0
428,tnc32,31.7201570415,2014,0,0,1,1,0,0,0,0,0,0,0,0
429,tnc33,4.70455113374,2014,0,0,1,1,0,0,0,0,0,0,0,0
434,tnc38,20.2722102366,2014,0,0,1,1,0,0,0,0,0,0,0,0
435,tnc39,20.5078650976,2014,0,0,1,1,0,0,0,0,0,0,0,0
