fiscal year,FY2014,FY2015,FY2016,FY2017
time frame,Nov 2013-Oct 2014,Nov 2014-Oct 2015,Nov 2015-Oct 2016,Nov 2016-Oct 2017
BUTTE,18065,21523,19590,8348
COLUSA,24730,18940,7566,7389
GLENN,3646,3973,2207,1403
PLACER,349,349,,
SUTTER,10498,15340,2881,5264
YOLO,4430,3391,3930,4037
YUBA,5846,7944,4582,1569
Total acres,67565,71459,40756,28009
"Fall flooding (2 weeks in July,Aug,or Sep)",340,48,399.2,6660
Boards in water control sturctures (Nov-Jan),8067,5713,4843,2562
"Variable Drawdown (flooded ~Nov - Feb1, then dd thru Feb)",59158,65698,35514,18787
,,,,
