crop_class,year,acres
corn,2007,65e4
corn,2008,67e4
corn,2009,55e4
corn,2010,61e4
corn,2011,63e4
corn,2012,64e4
corn,2013,6e5
corn,2014,52e4
corn,2015,44e4
corn,2016,42e4
corn,2017,43e4
fieldcrop,2007,639e3
fieldcrop,2008,505e3
fieldcrop,2009,387300
fieldcrop,2010,482100
fieldcrop,2011,639700
fieldcrop,2012,553800
fieldcrop,2013,462900
fieldcrop,2014,384800
fieldcrop,2015,329100
fieldcrop,2016,401900
fieldcrop,2017,490100
grains,2007,94e4
grains,2008,1235e3
grains,2009,115e4
grains,2010,1085e3
grains,2011,1055e3
grains,2012,1015e3
grains,2013,935e3
grains,2014,73e4
grains,2015,72e4
grains,2016,675e3
grains,2017,6e5
rice,2007,534e3
rice,2008,519e3
rice,2009,561e3
rice,2010,558e3
rice,2011,585e3
rice,2012,562e3
rice,2013,567e3
rice,2014,445e3
rice,2015,429e3
rice,2016,541e3
rice,2017,445e3
rowcrop,2007,793900
rowcrop,2008,769600
rowcrop,2009,749100
rowcrop,2010,756100
rowcrop,2011,738900
rowcrop,2012,765200
rowcrop,2013,776500
rowcrop,2014,75e4
rowcrop,2015,722400
rowcrop,2016,1027300
rowcrop,2017,990400
