DataSource,Name,BasinName,ClassName,Mosaic,MosaicDateStart,MosaicDateEnd,ObservedArea,ObservedAreaWater,PercentObserved,PercentWater,
TNC,American Unsuitable,American,Unsuitable,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,527641200,21120300,100,4.002776887,
TNC,American Grass/Pasture,American,Grass/Pasture,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,512295300,741600,100,0.144760258,
TNC,American Corn,American,Corn,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,6228000,9000,100,0.144508671,
TNC,American Field Crop,American,Field Crop,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,254139300,5200200,100,2.046200647,
TNC,American Grains,American,Grains,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,27476100,261900,100,0.953192047,
TNC,American Alfalfa,American,Alfalfa,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,29192400,8100,100,0.027746948,
TNC,American Rice,American,Rice,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,406053900,7349400,100,1.809956757,
TNC,American Row Crop,American,Row Crop,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,130500,0,100,0,
TNC,American Wetland,American,Wetland,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,2012400,128700,100,6.395348837,
TNC,American Suitable-unassigned,American,Suitable-unassigned,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,80588700,657900,100,0.816367555,
TNC,American Vineyard/Orchard,American,Vineyard/Orchard,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,255960000,736200,100,0.287623066,
TNC,Butte Unsuitable,Butte,Unsuitable,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,239594400,29219400,96.53761912,12.19536016,
TNC,Butte Grass/Pasture,Butte,Grass/Pasture,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,222481800,282600,93.86538476,0.127021626,
TNC,Butte Corn,Butte,Corn,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,19182600,0,99.99061738,0,
TNC,Butte Field Crop,Butte,Field Crop,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,168016500,12016800,99.62218439,7.152154699,
TNC,Butte Grains,Butte,Grains,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,19807200,16200,97.61376741,0.081788441,
TNC,Butte Alfalfa,Butte,Alfalfa,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,16605900,85500,99.96207606,0.514877242,
TNC,Butte Rice,Butte,Rice,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,611054100,40730400,99.99410889,6.665596385,
TNC,Butte Row Crop,Butte,Row Crop,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,587700,40500,100,6.891271057,
TNC,Butte Wetland,Butte,Wetland,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,72338400,9813600,100,13.56623868,
TNC,Butte Suitable-unassigned,Butte,Suitable-unassigned,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,39294000,2445300,98.88790741,6.223087494,
TNC,Butte Vineyard/Orchard,Butte,Vineyard/Orchard,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,476213400,3684600,95.78813596,0.773728753,
TNC,Colusa Unsuitable,Colusa,Unsuitable,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,285290100,26428500,99.99432189,9.263728394,
