group,habitat,total,mc_mean,mc_median,lcl,ucl
2013-14,wetlands,1298165.0380114964,1333226.7000260432,1295215.3012218443,780984.1399670611,2122206.6261891806
2014-15,wetlands,1042591.822617353,1073314.5135166605,1037726.4629562955,617615.3286315124,1691194.8261678242
2015-16,wetlands,1396407.9494933228,1427332.8555540347,1392989.2318222853,888692.049031668,2154993.4595393077
2016-17,wetlands,1478755.0037001988,1517177.01372562,1478290.088733886,946326.7210964279,2296071.678999625
2013-14,rice,6145310.164768972,6243985.272070472,6087018.644507108,3198563.794308664,9845467.32656154
2014-15,rice,6596659.037341233,6712035.188782416,6637630.217595697,3038686.3709603027,11001678.28176847
2015-16,rice,7905083.274126578,8006349.294029325,7874488.431279132,4524491.022872626,11986415.280619288
2016-17,rice,8254700.2756032385,8364040.9248377625,8247480.116230145,4180809.290752308,12917868.494489582
2013-14,corn,843610.6206737449,898055.9960293975,839443.8160173116,237163.36374439287,1900600.4213287989
2014-15,corn,849950.8232877911,902686.8862644802,838554.8580642997,220768.25411126175,1935755.7788678533
2015-16,corn,1042972.4586854434,1104756.5762309853,1035477.4992566309,280309.69352851954,2378968.7607281324
2016-17,corn,991183.8058808299,1053537.2361874413,974090.3312752701,256883.38067491355,2297040.6663509547
2013-14,other,1627491.8772795773,1691252.606493217,1572556.4948783843,391461.23237890756,3623512.806717772
2014-15,other,1627491.8772795773,1691252.606493217,1572556.4948783843,391461.23237890756,3623512.806717772
2015-16,other,1627491.8772795773,1691252.606493217,1572556.4948783843,391461.23237890756,3623512.806717772
2016-17,other,1627491.8772795773,1691252.606493217,1572556.4948783843,391461.23237890756,3623512.806717772
2013-14,br_fall,0,0,0,0,0
2014-15,br_fall,57642.32368589008,56783.69569446367,57455.14691957574,45730.73565089812,65677.41602283149
2015-16,br_fall,62468.64648891138,61504.077725799216,62257.758505737336,49069.47171595332,71517.61809443073
2016-17,br_fall,43211.355677259606,42516.8302396318,43049.2849092392,33156.60002457962,50280.97467352699
2013-14,br_spring,227013.6120258739,226153.0472174049,226790.59618415788,210520.14469896184,237836.3540897701
2014-15,br_spring,67694.51651976717,67331.13101939726,67600.34496820607,60729.91975907975,72264.57039782453
2015-16,br_spring,148484.0868040369,147858.28258585194,148321.90929794498,136490.00881699886,156354.40356491358
2016-17,br_spring,61717.306747040726,61420.97306674222,61640.51171139645,56037.81599193737,65444.09519475972
2013-14,whep_fall,4040.630501203942,4001.8212101054696,4033.3263626597786,3508.928467038795,4283.984608398804
2014-15,whep_fall,3591.18593310536,3556.693449760224,3584.6942433590602,3118.625805390528,3807.471447522283
2015-16,whep_fall,506.9909552619332,502.12142820144345,506.0744814153968,440.2765842904275,537.5253808266752
2016-17,whep_fall,4216.474777928411,4175.976544542004,4208.852770438049,3661.6335926820557,4470.419417208516
2013-14,whep_vardd,1157310.6795088055,1168457.6429020183,1160402.0261079213,490745.3305896873,1905490.2914334785
2014-15,whep_vardd,1092705.1876385582,1094436.7476107536,1095063.628229416,489451.0922874159,1707981.3564420368
2015-16,whep_vardd,732620.661044925,741405.5657795784,734868.7704191178,305529.3506675157,1224147.0345720055
2016-17,whep_vardd,387556.222587401,392203.43590772484,388745.472117687,161624.9818362996,647573.6023246043
2013-14,incentives,1388364.9220358832,1398612.5113295286,1391103.545869793,723231.6329421066,2134227.135750397
2014-15,incentives,1221633.213777321,1222108.267774375,1224922.7706083003,617886.8938998041,1837875.2497387545
2015-16,incentives,944080.3852931352,951270.0475194311,944665.6278089774,516465.5470942636,1437814.0298355273
2016-17,incentives,496701.3597896297,500317.2157586409,497414.74919810443,269300.84519215225,757560.3232999283
2013-14,totalfree,9914577.70073379,10166520.57461913,9992429.638903774,6670606.248299489,14272608.328742826
2014-15,totalfree,10116693.560525956,10379289.195056774,10272660.53178054,6297435.746350322,14933067.876249323
2015-16,totalfree,11971955.559584921,12229691.332307562,12163395.474224731,8088917.300603872,16575790.920743836
2016-17,totalfree,12352130.962463845,12626007.781244041,12473390.756664291,7950642.594879642,17592891.954964463
2013-14,grandtotal,11302942.622769672,11565133.085948657,11391203.791000523,7462658.128367876,16312845.05221187
2014-15,grandtotal,11338326.774303276,11601397.462831149,11523517.410216313,6927951.218672373,16724586.608563678
2015-16,grandtotal,12916035.944878057,13180961.379826993,13083319.319617867,8646020.888037423,17979012.782279115
2016-17,grandtotal,12848832.322253475,13126324.997002682,12947133.16437654,8297409.475534516,18338687.490386352
