group,time,watertype,wetlands,rice,corn,other,incentives,br_fall,br_spring,whep_fall,whep_vardd
2013-14,1,open,2340.3523620158335,0,0,0,2.0881811375730965,0,0,2.0881811375730965,0
2013-14,2,open,2313.1098443415003,0,0,0,4.176362275146193,0,0,4.176362275146193,0
2013-14,3,open,2286.1831381947086,0,0,0,6.26454341271929,0,0,6.26454341271929,0
2013-14,4,open,2259.611725834224,0,0,0,8.352724550292386,0,0,8.352724550292386,0
2013-14,5,open,2233.441692973274,0,0,0,10.440905687865483,0,0,10.440905687865483,0
2013-14,6,open,2207.723417988187,0,0,0,12.52908682543858,0,0,12.52908682543858,0
2013-14,7,open,2182.5306126599894,0,0,0,14.617267963011676,0,0,14.617267963011676,0
2013-14,8,open,2157.939918593674,0,0,0,16.705449100584772,0,0,16.705449100584772,0
2013-14,9,open,2134.029006370849,0,0,0,18.793630238157867,0,0,18.793630238157867,0
2013-14,10,open,2110.89402767843,0,0,0,20.881811375730965,0,0,20.881811375730965,0
2013-14,11,open,2088.647112479145,0,0,0,22.969992513304064,0,0,22.969992513304064,0
2013-14,12,open,2067.3997395243236,0,0,0,25.05817365087716,0,0,25.05817365087716,0
2013-14,13,open,2047.2615308816444,0,0,0,27.146354788450253,0,0,27.146354788450253,0
2013-14,14,open,2028.3475453091578,0,0,0,29.23453592602335,0,0,29.23453592602335,0
2013-14,15,open,2010.7718276155927,0,0,0,31.32271706359645,0,0,31.32271706359645,0
2013-14,16,open,1994.6467106304763,0,0,0,33.410898201169545,0,0,33.410898201169545,0
2013-14,17,open,1980.0861295754619,0,0,0,35.49907933874264,0,0,35.49907933874264,0
2013-14,18,open,1967.2039965392185,0,0,0,37.587260476315734,0,0,37.587260476315734,0
2013-14,19,open,1956.1139704232398,0,0,0,39.675441613888836,0,0,39.675441613888836,0
2013-14,20,open,1946.9293053422673,0,0,0,41.76362275146193,0,0,41.76362275146193,0
2013-14,21,open,1939.765360509058,0,0,0,43.851803889035025,0,0,43.851803889035025,0
2013-14,22,open,1934.7397839823261,0,0,0,45.93998502660813,0,0,45.93998502660813,0
2013-14,23,open,1931.9693381596464,0,0,0,48.02816616418122,0,0,48.02816616418122,0
2013-14,24,open,1931.5759089784956,0,0,0,50.11634730175432,0,0,50.11634730175432,0
2013-14,25,open,1933.6870583212706,0,0,0,52.20452843932741,0,0,52.20452843932741,0
2013-14,26,open,1938.4274759368884,0,0,0,54.292709576900506,0,0,54.292709576900506,0
2013-14,27,open,1945.919630486781,0,0,0,56.38089071447361,0,0,56.38089071447361,0
2013-14,28,open,1956.2959049696321,0,0,0,58.4690718520467,0,0,58.4690718520467,0
2013-14,29,open,1969.6994484016222,0,0,0,60.5572529896198,0,0,60.5572529896198,0
2013-14,30,open,1986.2752144947183,0,0,0,62.6454341271929,0,0,62.6454341271929,0
2013-14,31,open,2006.181942349925,0,0,0,64.73361526476599,0,0,64.73361526476599,0
2013-14,32,open,2029.5933109716175,0,0,0,66.82179640233909,0,0,66.82179640233909,0
2013-14,33,open,2056.687046425747,0,0,0,68.90997753991219,0,0,68.90997753991219,0
2013-14,34,open,2087.658830283495,0,0,0,70.99815867748528,0,0,70.99815867748528,0
2013-14,35,open,2122.7237611688724,0,0,0,73.08633981505838,0,0,73.08633981505838,0
2013-14,36,open,2162.1037820153388,0,0,0,75.17452095263147,0,0,75.17452095263147,0
2013-14,37,open,2206.0431816820446,0,0,0,77.26270209020457,0,0,77.26270209020457,0
2013-14,38,open,2254.810354638197,0,0,0,79.35088322777767,0,0,79.35088322777767,0
2013-14,39,open,2308.683766053306,0,0,0,81.43906436535076,0,0,81.43906436535076,0
2013-14,40,open,2367.968704753358,0,0,0,83.52724550292386,0,0,83.52724550292386,0
2013-14,41,open,2432.999293222925,0,0,0,85.61542664049696,0,0,85.61542664049696,0
2013-14,42,open,2504.1174157840674,0,0,0,87.70360777807005,0,0,87.70360777807005,0
2013-14,43,open,2581.6716508163386,0,0,0,89.79178891564315,0,0,89.79178891564315,0
2013-14,44,open,2666.039835171789,0,0,0,89.79178891564315,0,0,89.79178891564315,0
2013-14,45,open,2757.6305632580315,0,0,0,89.79178891564315,0,0,89.79178891564315,0
2013-14,46,open,2856.865724108756,0,0,0,89.79178891564315,0,0,89.79178891564315,0
2013-14,47,open,2964.1975738143874,0,0,0,89.79178891564314,0,0,89.79178891564314,0
2013-14,48,open,3080.1098092652724,0,0,0,89.79178891564315,0,0,89.79178891564315,0
2013-14,49,open,3205.0989700794644,0,0,0,89.79178891564315,0,0,89.79178891564315,0
2013-14,50,open,3339.6905366483415,0,0,0,89.79178891564315,0,0,89.79178891564315,0
