scenario,population,incentives,group,habitat,total,mc_mean,mc_median,lcl,ucl
obj_with,objectives,with,2013-14,shortfall,17441901667.599228,16084307284.97733,15992982562.08012,9486597188.630295,22427766640.986435
obj_with,objectives,with,2014-15,shortfall,13364260566.860294,12972816281.783691,12728172577.74273,7643293866.645719,18847970820.785088
obj_with,objectives,with,2015-16,shortfall,17976304060.622574,16155021285.069563,16277510542.486069,8305476812.702192,23110671164.584736
obj_with,objectives,with,2016-17,shortfall,15738080712.410583,15372369267.98743,15309115595.7701,9198135188.37294,21435710177.4166
obs_with,baseline,with,2013-14,shortfall,2124706591.5930004,2105554242.7564802,1911356268.1940904,854874477.845292,4017983541.7313185
obs_with,baseline,with,2014-15,shortfall,1840028921.0282836,1988297522.500168,1858867622.4384599,1299463980.0191238,3327252053.6529717
obs_with,baseline,with,2015-16,shortfall,1630902199.705575,1791209486.1240873,1652496923.497884,976948274.7879531,3600538708.7560096
obs_with,baseline,with,2016-17,shortfall,1692419250.0442271,2045742873.4174507,1755736647.7371612,942405867.874277,4218788374.0831666
obj_free,objectives,without,2013-14,shortfall,20426280001.4655,18787427369.47125,18841506896.16364,11124416696.441555,25373987437.191895
obj_free,objectives,without,2014-15,shortfall,15625444228.824253,15104183822.314137,14858067067.903383,8884301776.30872,21845693422.336884
obj_free,objectives,without,2015-16,shortfall,20033879462.50061,18091910964.771038,18260947472.25766,9399424960.779905,25103076847.750923
obj_free,objectives,without,2016-17,shortfall,16543967392.685724,16163502841.457176,16044709746.091532,9671211853.699564,22558924488.199654
obs_free,baseline,without,2013-14,shortfall,2723868907.7510867,2637158966.6419926,2447299218.3878117,881161213.1375363,5153794571.559646
obs_free,baseline,without,2014-15,shortfall,1981394001.423305,2250390087.5478225,1989567412.9686441,1352581011.8073654,4121071273.448148
obs_free,baseline,without,2015-16,shortfall,1857363290.7851853,2109436956.7333627,1787627294.7972736,1010742748.6039603,4792568984.578303
obs_free,baseline,without,2016-17,shortfall,1938765113.4664147,2253318244.9031887,1938922457.6584597,1013371583.6759834,4580407640.945048
